"CODE_RECURRENCE";"NOM_TACHE";"DESCRIPTION";"CATEGORIE";"DUREE_MIN";"IS_ACTIVE";"IS_PAUSE"
"REC001";"Arroser les plantes";"Arroser toutes les plantes d'intérieur";"Maison";"5";"1";"0"
"REC002";"Nettoyer caisse chat";"Nettoyer et changer la litière";"Animaux";"5";"1";"0"
"REC003";"Changer les draps";"Changer les draps du lit";"Maison";"5";"1";"0"
"REC004";"Aspirer salon";"Passer l'aspirateur dans le salon";"Maison";"5";"1";"0"
"REC005";"Sortir les poubelles";"Sortir les poubelles sur le trottoir";"Maison";"5";"1";"0"
"REC006";"Nettoyer la cuisine";"Nettoyer plan de travail et évier";"Maison";"5";"1";"0"
"REC007";"Nettoyer lavabo";"Nettoyer lavabo et miroir";"Maison";"5";"1";"0"
"REC008";"Faire les courses";"Courses alimentaires hebdomadaires";"Maison";"60";"1";"0"
"REC010";"Réviser factures";"Vérifier et payer les factures";"Finance";"5";"1";"0"
"REC011";"Nettoyer frigo";"Nettoyer étagères du frigo";"Maison";"5";"1";"0"
"REC012";"Trier le courrier";"Trier et classer le courrier";"Maison";"5";"1";"0"
"REC014";"Nettoyer fenêtre salon";"Nettoyer vitre principale salon";"Maison";"5";"1";"0"
"REC015";"Laver gamelles animaux";"Laver et désinfecter gamelles";"Animaux";"5";"1";"0"
"REC016";"Aspirer canapé";"Aspirer le canapé";"Maison";"5";"1";"0"
"REC017";"Nettoyer micro-ondes";"Nettoyer intérieur micro-ondes";"Maison";"5";"1";"0"
"REC018";"Descendre recyclage";"Descendre cartons et bouteilles";"Maison";"5";"1";"0"
"REC019";"Vider poubelle bureau";"Vider corbeille du bureau";"Maison";"5";"1";"0"
"REC020";"Nettoyer clavier";"Nettoyer clavier d'ordinateur";"Maison";"5";"1";"0"
"REC021";"Douche matinale";"Se laver complètement sous la douche";"Hygiène";"15";"1";"0"
"REC022";"Manucure";"Couper et limer les ongles des mains";"Entretien";"5";"1";"0"
"REC023";"Révision Anki";"Réviser les cartes de mémorisation Anki";"Mémorisation";"5";"1";"0"
"REC024";"Épilation visage";"Épiler les joues et oreilles";"Hygiène";"5";"1";"0"
"REC025";"Brossage dentaire";"Se brosser les dents";"Hygiène";"5";"1";"0"
"REC026";"Jeu avec Gigi";"Jouer et interagir avec Gigi";"Animaux";"5";"1";"0"
"REC027";"Jeu avec Coco";"Jouer et interagir avec Coco";"Animaux";"5";"1";"0"
"REC028";"Pédicure ongles";"Couper et soigner les ongles de pieds";"Hygiène";"5";"1";"0"
"REC029";"Pesée santé";"Se peser pour suivi de santé";"Suivi";"5";"1";"0"
"REC030";"Correction posture";"Exercices pour améliorer la posture";"Exercice";"5";"1";"0"
"REC031";"Étirement abducteurs";"Étirer les muscles abducteurs";"Exercice";"5";"1";"0"
"REC032";"Étirement cuisses";"Étirer les muscles des cuisses";"Exercice";"5";"1";"0"
"REC033";"Pompes murales";"Faire des pompes contre le mur";"Exercice";"5";"1";"0"
"REC034";"Rotation épaules";"Mouvements circulaires pour assouplir les épaules";"Exercice";"5";"1";"0"
"REC035";"Pédicure complète";"Soin complet des pieds";"Hygiène";"5";"1";"0"
"REC036";"Coiffure et barbe";"Tailler la barbe et couper les cheveux";"Hygiène";"5";"1";"0"
"REC037";"Brossage Gigi";"Brosser le pelage de Gigi";"Entretien";"5";"1";"0"
"REC038";"Brossage Coco";"Brosser le pelage de Coco";"Entretien";"5";"1";"0"
"REC039";"Nourrir Gigi";"Remplir la gamelle de Gigi";"Entretien";"5";"1";"0"
"REC040";"Nourrir Coco";"Remplir la gamelle de Coco";"Entretien";"5";"1";"0"
"REC041";"Tri vêtements";"Replier vêtements propres";"Rangement";"5";"1";"0"
"REC042";"Tri vrac";"Ramasser vrac au sol: jeter, ranger";"Rangement";"5";"1";"0"
"REC043";"Dégager canapé";"Ranger vrac du canapé";"Rangement";"5";"1";"0"
"REC044";"Aspirer salon";"Aspirer le salon";"Nettoyage";"5";"1";"0"
"REC045";"Vitres porte-fenêtre";"Nettoyer vitres porte-fenêtre";"Nettoyage";"5";"1";"0"
"REC046";"Dépoussiérage hauteur";"Dépoussiérer miroir et radiateur";"Nettoyage";"5";"1";"0"
"REC047";"Rangement aspirateur";"Enrouler câble et ranger aspirateur";"Rangement";"5";"1";"0"
"REC048";"Installation recyclage";"Installer bacs recyclage";"Rangement";"5";"1";"0"
"REC049";"Dégager atelier";"Vider plan de travail atelier";"Rangement";"5";"1";"0"
"REC050";"Tri composants";"Classer et étiqueter composants";"Rangement";"5";"1";"0"
"REC051";"Gestion câbles";"Enrouler et attacher câbles";"Rangement";"5";"1";"0"
"REC052";"Nettoyage atelier CNC";"Aspirer copeaux autour CNC";"Nettoyage";"5";"1";"0"
"REC053";"Protection CNC";"Dépoussiérer CNC et poser housse";"Nettoyage";"5";"1";"0"
"REC054";"Sécurité fixations";"Vérifier étagères et ancrages";"Maintenance";"5";"1";"0"
"REC055";"Plan travail cuisine";"Dégager plan et ranger ustensiles";"Rangement";"5";"1";"0"
"REC056";"Égouttoir vaisselle";"Nettoyer égouttoir et ranger vaisselle";"Nettoyage";"5";"1";"0"
"REC057";"Nettoyage crédence";"Essuyer crédence avec dégraissant";"Nettoyage";"5";"1";"0"
"REC058";"Détartrage évier";"Nettoyer évier et robinet";"Nettoyage";"5";"1";"0"
"REC059";"Nettoyage plaque";"Dégraisser plaque vitrocéramique";"Nettoyage";"5";"1";"0"
"REC060";"Entretien poubelle";"Laver bac et couvercle";"Nettoyage";"5";"1";"0"
"REC061";"Sol cuisine";"Aspirer et serpiller sol cuisine";"Nettoyage";"5";"1";"0"
"REC062";"Dessus frigo";"Dépoussiérer dessus frigo";"Rangement";"5";"1";"0"
"REC063";"Portes frigo";"Nettoyer portes extérieures frigo";"Nettoyage";"5";"1";"0"
"REC064";"Tri épices/boîtes";"Trier et jeter périmés";"Rangement";"5";"1";"0"
"REC065";"Fenêtre cuisine";"Laver fenêtre cuisine";"Nettoyage";"5";"1";"0"
"REC066";"Façades meubles";"Essuyer portes et tiroirs";"Nettoyage";"5";"1";"0"
"REC067";"Entretien lave-vaisselle";"Nettoyer filtre et joints";"Maintenance";"5";"1";"0"
"REC068";"Entretien machine à laver";"Nettoyer joint et filtre";"Maintenance";"5";"1";"0"
"REC069";"Tri lavabo";"Trier produits lavabo";"Rangement";"5";"1";"0"
"REC070";"Miroir salle de bain";"Nettoyer miroir et luminaire";"Nettoyage";"5";"1";"0"
"REC071";"Lavabo propre";"Dégraisser lavabo et bonde";"Nettoyage";"5";"1";"0"
"REC072";"Détartrage robinet";"Détartrer robinet salle de bain";"Nettoyage";"5";"1";"0"
"REC073";"Paniers douche";"Laver paniers d'angle douche";"Nettoyage";"5";"1";"0"
"REC074";"Baignoire propre";"Récurer la baignoire";"Nettoyage";"5";"1";"0"
"REC075";"Joints carrelage";"Brosser carrelage et joints";"Nettoyage";"5";"1";"0"
"REC076";"Sol salle de bain";"Aspirer et laver sol SDB";"Nettoyage";"5";"1";"0"
"REC077";"Portes salle de bain";"Nettoyer portes et poignées";"Nettoyage";"5";"1";"0"
"REC078";"Réparation mur";"Préparer réparation mur SDB";"Maintenance";"5";"1";"0"
"REC079";"Armoire WC";"Organiser produits WC";"Rangement";"5";"1";"0"
"REC080";"Brosse WC neuve";"Installer nouvelle brosse WC";"Maintenance";"5";"1";"0"
"REC081";"Détartrage WC";"Nettoyer cuvette et détartrer";"Nettoyage";"5";"1";"0"
"REC082";"Placard entrée";"Dépoussiérer placard entrée";"Rangement";"5";"1";"0"
"REC083";"Tri chaussures";"Trier et jeter chaussures usées";"Rangement";"5";"1";"0"
"REC084";"Organisation entrée";"Ranger accessoires entrée";"Rangement";"5";"1";"0"
"REC085";"Sol entrée";"Aspirer et laver sol entrée";"Nettoyage";"5";"1";"0"
"REC086";"Litière propre";"Laver bac litière et recharger";"Nettoyage";"5";"1";"0"
"REC087";"Sol balcon";"Balayer et laver sol balcon";"Nettoyage";"5";"1";"0"
"REC088";"Mobilier balcon";"Essuyer table, chaises et vélo";"Nettoyage";"5";"1";"0"
"REC089";"Rideau douche";"Laver rideau de douche";"Nettoyage";"5";"1";"0"
"REC090";"Filtres ventilation";"Nettoyer filtres ventilateur";"Maintenance";"5";"1";"0"
"R010";"Méditation";"Séance de méditation guidée ou libre";"Bien-être";"10";"1";"0"
"R018";"Pause café";"Prendre un café";"Petit-déjeuner";"15";"1";"0"
"R019";"Petit-déjeuner";"Manger le petit-déjeuner";"Petit-déjeuner";"20";"1";"0"
"R020";"Pause thé";"Prendre un thé";"Petit-déjeuner";"10";"1";"0"
"R021";"Pause repos";"Faire une pause de repos";"Pause";"5";"1";"0"
"R022";"Micro-marche";"Marcher 5 minutes";"Pause";"5";"1";"0"
"R023";"Exercice respiratoire";"Faire des exercices de respiration";"Bien-être";"5";"1";"0"
"R028";"Contemplation";"Regarder dehors par la fenêtre";"Pause";"5";"1";"0"
"R029";"Lecture courte";"Lire un article court";"Lecture";"10";"1";"0"
"REC050";"Méditation";"Séance de méditation guidée ou libre";"Bien-être";"10";"1";"1"
"REC051";"Pause café";"Prendre un café";"Petit-déjeuner";"15";"1";"1"
"REC052";"Petit-déjeuner";"Manger le petit-déjeuner";"Petit-déjeuner";"20";"1";"1"
"REC053";"Pause thé";"Prendre un thé";"Petit-déjeuner";"10";"1";"1"
"REC054";"Pause repos";"Faire une pause de repos";"Pause";"5";"1";"1"
"REC055";"Micro-marche";"Marcher 5 minutes";"Pause";"5";"1";"1"
"REC056";"Exercice respiratoire";"Faire des exercices de respiration";"Bien-être";"5";"1";"1"
"REC057";"Contemplation";"Regarder dehors par la fenêtre";"Pause";"5";"1";"1"
"REC058";"Lecture courte";"Lire un article court";"Lecture";"10";"1";"1"
